L0 L74 L51 L84 L88 L41 L29 L39 L32 L24 L10 L14 L69 L83 L85 L86 L31 L42 L43 L62 L50 L2 L45 L60 L93 L92 L22 L23 L12 L72 L68 L80 L73 L1 L21 L20 L19 L79 L33 L54 L96 L97 L6 L7 L77 L48 L8 L81 L15 L75 L0
49
L0 L28
L1 L1
L24 L24
L23 L23
L22 L22
L20 L20
L21 L21
L33 L33
L2 L2
L32 L32
L31 L31
L29 L29
L10 L10
L51 L51
L6 L6
L42 L42
L7 L7
L41 L41
L39 L39
L8 L8
L43 L43
L45 L45 L46
L60 L60
L48 L48
L50 L50
L12 L12
L73 L73
L74 L74
L75 L75
L72 L72
L77 L77
L14 L14
L81 L81
L15 L15
L84 L84
L79 L79
L80 L80
L54 L54
L83 L83
L88 L88
L68 L68
L19 L19
L69 L69
L92 L92
L93 L93
L97 L97
L62 L62
L85 L85
L86 L86
